scenario,scenario_id,seed,policy,time_step,price,inventory_start,inventory_end,expected_purchase_probability,unconstrained_demand,sales,stockout,profit,cumulative_profit,cumulative_sales,stockout_frequency,oracle_price,oracle_expected_profit,step_regret,price_decision_regret,cumulative_regret
High Inventory Constraint,high_inventory_constraint,2028,Conservative Inventory Preservation,6,26.5,0,0,0.100963332436482,9,0,TRUE,0,646.5,55,0.3333333333333333,1,-0,-0,25.5,244.85499608476334
High Inventory Constraint,high_inventory_constraint,2028,Conservative Inventory Preservation,7,26.5,0,0,0.1011084459640593,9,0,TRUE,0,646.5,55,0.42857142857142855,1,-0,-0,25.5,244.85499608476334
High Inventory Constraint,high_inventory_constraint,2028,Conservative Inventory Preservation,8,9.75,10,0,0.19387648711274788,15,10,TRUE,47.5,694,65,0.5,35,169.08874902119084,121.58874902119084,25.25,366.4437451059542
High Segment Heterogeneity,high_segment_heterogeneity,2028,Static Pricing,1,9.5,120,101,0.30152988797455216,19,19,FALSE,85.5,85.5,19,0,35,355.82005970239555,270.32005970239555,25.5,270.32005970239555
High Segment Heterogeneity,high_segment_heterogeneity,2028,Static Pricing,2,9.5,101,84,0.3071598619431655,17,17,FALSE,76.5,162,36,0,35,355.82005970239555,279.32005970239555,25.5,549.6401194047911
High Segment Heterogeneity,high_segment_heterogeneity,2028,Static Pricing,3,9.5,84,66,0.31112797083661026,18,18,FALSE,81,243,54,0,35,355.82005970239555,274.82005970239555,25.5,824.4601791071866
High Segment Heterogeneity,high_segment_heterogeneity,2028,Static Pricing,4,9.5,66,46,0.3104835114590615,20,20,FALSE,90,333,74,0,35,355.82005970239555,265.82005970239555,25.5,1090.2802388095822
High Segment Heterogeneity,high_segment_heterogeneity,2028,Static Pricing,5,9.5,46,29,0.309772877465929,17,17,FALSE,76.5,409.5,91,0,35,355.82005970239555,279.32005970239555,25.5,1369.6002985119778
High Segment Heterogeneity,high_segment_heterogeneity,2028,Static Pricing,6,9.5,29,7,0.31128458460447056,22,22,FALSE,99,508.5,113,0,35,355.82005970239555,256.82005970239555,25.5,1626.4203582143734
High Segment Heterogeneity,high_segment_heterogeneity,2028,Static Pricing,7,9.5,7,0,0.32325105981137087,20,7,TRUE,31.5,540,120,0.14285714285714285,35,210,178.5,25.5,1804.9203582143734
High Segment Heterogeneity,high_segment_heterogeneity,2028,Static Pricing,8,9.5,0,0,0.32640008136204424,19,0,TRUE,0,540,120,0.25,1,-0,-0,8.5,1804.9203582143734
High Segment Heterogeneity,high_segment_heterogeneity,2028,Static Pricing,9,9.5,0,0,0.327738621664305,20,0,TRUE,0,540,120,0.3333333333333333,1,-0,-0,8.5,1804.9203582143734
High Segment Heterogeneity,high_segment_heterogeneity,2028,Static Pricing,10,9.5,0,0,0.3284179528884756,18,0,TRUE,0,540,120,0.4,1,-0,-0,8.5,1804.9203582143734
High Segment Heterogeneity,high_segment_heterogeneity,2028,Inventory-Aware Pricing,1,9.5,120,100,0.3011348860617352,20,20,FALSE,90,90,20,0,35,355.82005970239555,265.82005970239555,25.5,265.82005970239555
High Segment Heterogeneity,high_segment_heterogeneity,2028,Inventory-Aware Pricing,2,10.25,100,81,0.3003872310044036,19,19,FALSE,99.75,189.75,39,0,35,355.82005970239555,256.07005970239555,24.75,521.8901194047911
High Segment Heterogeneity,high_segment_heterogeneity,2028,Inventory-Aware Pricing,3,11,81,66,0.29546024604448223,15,15,FALSE,90,279.75,54,0,35,355.82005970239555,265.82005970239555,24,787.7101791071866
High Segment Heterogeneity,high_segment_heterogeneity,2028,Inventory-Aware Pricing,4,11.25,66,49,0.2960266312293266,17,17,FALSE,106.25,386,71,0,35,355.82005970239555,249.57005970239555,23.75,1037.2802388095822
High Segment Heterogeneity,high_segment_heterogeneity,2028,Inventory-Aware Pricing,5,11.75,49,33,0.29075400366636084,16,16,FALSE,108,494,87,0,35,355.82005970239555,247.82005970239555,23.25,1285.1002985119778
High Segment Heterogeneity,high_segment_heterogeneity,2028,Inventory-Aware Pricing,6,12.25,33,19,0.2846546606459568,14,14,FALSE,101.5,595.5,101,0,35,355.82005970239555,254.32005970239555,22.75,1539.4203582143734
High Segment Heterogeneity,high_segment_heterogeneity,2028,Inventory-Aware Pricing,7,12.5,19,1,0.28795311325543255,18,18,FALSE,135,730.5,119,0,35,355.82005970239555,220.82005970239555,22.5,1760.240417916769
High Segment Heterogeneity,high_segment_heterogeneity,2028,Inventory-Aware Pricing,8,13,1,0,0.29216257517008076,15,1,TRUE,8,738.5,120,0.125,35,30,22,22,1782.240417916769
High Segment Heterogeneity,high_segment_heterogeneity,2028,Inventory-Aware Pricing,9,12,0,0,0.3004725908770458,17,0,TRUE,0,738.5,120,0.2222222222222222,1,-0,-0,11,1782.240417916769
High Segment Heterogeneity,high_segment_heterogeneity,2028,Inventory-Aware Pricing,10,10.75,0,0,0.3119040334681752,20,0,TRUE,0,738.5,120,0.3,1,-0,-0,9.75,1782.240417916769
High Segment Heterogeneity,high_segment_heterogeneity,2028,Greedy Revenue Maximization,1,9.5,120,102,0.300331568461983,18,18,FALSE,81,81,18,0,35,355.82005970239555,274.82005970239555,25.5,274.82005970239555
High Segment Heterogeneity,high_segment_heterogeneity,2028,Greedy Revenue Maximization,2,9.5,102,84,0.30580607528424697,18,18,FALSE,81,162,36,0,35,355.82005970239555,274.82005970239555,25.5,549.6401194047911
High Segment Heterogeneity,high_segment_heterogeneity,2028,Greedy Revenue Maximization,3,9.5,84,67,0.31176940771540834,17,17,FALSE,76.5,238.5,53,0,35,355.82005970239555,279.32005970239555,25.5,828.9601791071866
High Segment Heterogeneity,high_segment_heterogeneity,2028,Greedy Revenue Maximization,4,9.5,67,49,0.31239894040459976,18,18,FALSE,81,319.5,71,0,35,355.82005970239555,274.82005970239555,25.5,1103.7802388095822
High Segment Heterogeneity,high_segment_heterogeneity,2028,Greedy Revenue Maximization,5,9.5,49,29,0.31094255302947105,20,20,FALSE,90,409.5,91,0,35,355.82005970239555,265.82005970239555,25.5,1369.6002985119778
High Segment Heterogeneity,high_segment_heterogeneity,2028,Greedy Revenue Maximization,6,9.5,29,12,0.3105207015793987,17,17,FALSE,76.5,486,108,0,35,355.82005970239555,279.32005970239555,25.5,1648.9203582143734
High Segment Heterogeneity,high_segment_heterogeneity,2028,Greedy Revenue Maximization,7,9.5,12,0,0.32033283434511794,24,12,TRUE,54,540,120,0.14285714285714285,35,355.82005970239555,301.82005970239555,25.5,1950.740417916769
High Segment Heterogeneity,high_segment_heterogeneity,2028,Greedy Revenue Maximization,8,9.5,0,0,0.3274376164494772,18,0,TRUE,0,540,120,0.25,1,-0,-0,8.5,1950.740417916769
High Segment Heterogeneity,high_segment_heterogeneity,2028,Greedy Revenue Maximization,9,9.5,0,0,0.33000911100957586,19,0,TRUE,0,540,120,0.3333333333333333,1,-0,-0,8.5,1950.740417916769
High Segment Heterogeneity,high_segment_heterogeneity,2028,Greedy Revenue Maximization,10,9.5,0,0,0.327220452802869,17,0,TRUE,0,540,120,0.4,1,-0,-0,8.5,1950.740417916769
High Segment Heterogeneity,high_segment_heterogeneity,2028,Conservative Inventory Preservation,1,9.5,120,105,0.3014643180452479,15,15,FALSE,67.5,67.5,15,0,35,355.82005970239555,288.32005970239555,25.5,288.32005970239555
High Segment Heterogeneity,high_segment_heterogeneity,2028,Conservative Inventory Preservation,2,9.5,105,87,0.305259822377192,18,18,FALSE,81,148.5,33,0,35,355.82005970239555,274.82005970239555,25.5,563.1401194047911
High Segment Heterogeneity,high_segment_heterogeneity,2028,Conservative Inventory Preservation,3,9.5,87,66,0.31040501391934217,21,21,FALSE,94.5,243,54,0,35,355.82005970239555,261.32005970239555,25.5,824.4601791071866
High Segment Heterogeneity,high_segment_heterogeneity,2028,Conservative Inventory Preservation,4,26.5,66,51,0.2267003000746134,15,15,FALSE,322.5,565.5,69,0,35,355.82005970239555,33.320059702395554,8.5,857.7802388095822
High Segment Heterogeneity,high_segment_heterogeneity,2028,Conservative Inventory Preservation,5,26.5,51,36,0.22615885003946554,15,15,FALSE,322.5,888,84,0,35,355.82005970239555,33.320059702395554,8.5,891.1002985119778
High Segment Heterogeneity,high_segment_heterogeneity,2028,Conservative Inventory Preservation,6,26.5,36,23,0.22529846100609208,13,13,FALSE,279.5,1167.5,97,0,35,355.82005970239555,76.32005970239555,8.5,967.4203582143734
High Segment Heterogeneity,high_segment_heterogeneity,2028,Conservative Inventory Preservation,7,26.5,23,9,0.2293043114409062,14,14,FALSE,301,1468.5,111,0,35,355.82005970239555,54.820059702395554,8.5,1022.240417916769
High Segment Heterogeneity,high_segment_heterogeneity,2028,Conservative Inventory Preservation,8,26.5,9,0,0.23465755663439433,14,9,TRUE,193.5,1662,120,0.125,35,270,76.5,8.5,1098.740417916769
High Segment Heterogeneity,high_segment_heterogeneity,2028,Conservative Inventory Preservation,9,26.5,0,0,0.2368917179108551,16,0,TRUE,0,1662,120,0.2222222222222222,1,-0,-0,25.5,1098.740417916769
High Segment Heterogeneity,high_segment_heterogeneity,2028,Conservative Inventory Preservation,10,9.5,0,0,0.3269573244724524,18,0,TRUE,0,1662,120,0.3,1,-0,-0,8.5,1098.740417916769
